title,url
Xfwl4 – The Roadmap for a Xfce Wayland Compositor,https://alexxcons.github.io/blogpost_15.html
I made my own Git,https://tonystr.net/blog/git_immitation
Heathrow scraps liquid container limit,https://www.bbc.com/news/articles/c1evvx89559o
Snow Simulation Toy,https://potch.me/2026/snow-simulation-toy.html
TikTok users can't upload anti-ICE videos. The company blames tech issues,https://www.cnn.com/2026/01/26/tech/tiktok-ice-censorship-glitch-cec
Velox: A Port of Tauri to Swift by Miguel de Icaza,https://github.com/velox-apps/velox
The Enchiridion by Epictetus,https://www.gutenberg.org/files/45109/45109-h/45109-h.htm
The age of Pump and Dump software,https://tautvilas.medium.com/software-pump-and-dump-c8a9a73d313b
A list of fun destinations for telnet,https://telnet.org/htm/places.htm
Two Twisty Shapes Resolve a Centuries-Old Topology Puzzle,https://www.quantamagazine.org/two-twisty-shapes-resolve-a-centuries-old-topology-puzzle-20260120/
"9 Mothers (YC X26, Defense Tech) Is Hiring",https://jobs.ashbyhq.com/9-mothers?utm_source=x8pZ4B3P3Q
Show HN: We Built the 1. EU-Sovereignty Audit for Websites,https://lightwaves.io/en/eu-audit/
"Kimi Released Kimi K2.5, Open-Source Visual SOTA-Agentic Model",https://www.kimi.com/blog/kimi-k2-5.html
We Do Not Support Opt-Out Forms (2025),https://consciousdigital.org/why-we-do-not-support-opt-out-forms/
The C-Shaped Hole in Package Management,https://nesbitt.io/2026/01/27/the-c-shaped-hole-in-package-management.html
Ask HN: Books to learn 6502 ASM and the Apple II,item?id=46778461
Apple introduces new AirTag with longer range and improved findability,https://www.apple.com/newsroom/2026/01/apple-introduces-new-airtag-with-expanded-range-and-improved-findability/
"The Universal Pattern Popping Up in Math, Physics and Biology (2013)",https://www.quantamagazine.org/in-mysterious-pattern-math-and-nature-converge-20130205/
"ChatGPT Containers can now run bash, pip/npm install packages and download files",https://simonwillison.net/2026/Jan/26/chatgpt-containers/
The hidden engineering of runways,https://practical.engineering/blog/2026/1/20/the-hidden-engineering-of-runways
Handling Long Branches,https://maskray.me/blog/2026-01-25-handling-long-branches
Windows 11's Patch Tuesday nightmare gets worse,https://www.windowscentral.com/microsoft/windows-11/windows-11s-botched-patch-tuesday-update-nightmare-continues-as-microsoft-confirms-some-pcs-might-fail-to-boot
There is an AI code review bubble,https://www.greptile.com/blog/ai-code-review-bubble
Refinement Without Specification,https://buttondown.com/hillelwayne/archive/refinement-without-specification/
"Over 36,500 killed in Iran's deadliest massacre, documents reveal",https://www.iranintl.com/en/202601255198
"I let ChatGPT analyze a decade of my Apple Watch data, then I called my doctor",https://www.msn.com/en-us/news/technology/i-let-chatgpt-analyze-a-decade-of-my-apple-watch-data-then-i-called-my-doctor/ar-AA1UZxip
India and EU announce landmark trade deal,https://www.bbc.com/news/articles/crrnee01r9jo
JuiceSSH – Give me my pro features back,https://nproject.io/blog/juicessh-give-me-back-my-pro-features/
RIP Low-Code 2014-2025,https://www.zackliscio.com/posts/rip-low-code-2014-2025/
Amazon Closing Fresh and Go Stores,https://finance.yahoo.com/news/amazon-closing-fresh-grocery-convenience-150437789.html
